	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
PGM5	57	57	3.61653670389e-17	0.0	-4.8806	1.877	ENSG00000154330.12
SYTL4	57	57	2.09492200584e-12	0.0	-4.4984	0.9329	ENSG00000102362.15
SIX1	57	57	4.17554452856e-12	0.0001	7.8333	1.3837	ENSG00000126778.8
LRRK2	57	57	4.26123351018e-14	0.0001	-4.5262	1.4737	ENSG00000188906.13
ASPM	57	57	6.05813453438e-07	0.0	5.8398	0.6551	ENSG00000066279.16
POC1A	57	57	7.81845516102e-11	0.0	3.6372	0.6247	ENSG00000164087.7
MYBL2	57	57	5.78700881461e-08	0.0	7.0305	0.647	ENSG00000101057.15
MCM10	57	57	1.51516329092e-07	0.0	5.677	0.6157	ENSG00000065328.16
UHRF1	57	57	2.59854329728e-06	0.0	5.51	0.7551	ENSG00000276043.4
SKA1	57	57	7.96891723445e-09	0.0001	5.4739	0.7729	ENSG00000154839.9
RAD51AP1	57	57	2.04496981442e-08	0.0	3.715	0.7047	ENSG00000111247.14
CDCA2	57	57	2.73910346945e-10	0.0	6.0261	0.8918	ENSG00000184661.13
MAD2L1	57	57	6.28419525986e-13	0.0	4.0327	0.4675	ENSG00000164109.13
MND1	57	57	2.47531554468e-06	0.0001	4.9056	0.728	ENSG00000121211.7
KLHDC1	57	57	1.22693520618e-08	0.0001	-3.2584	0.8599	ENSG00000197776.7
CCNB2	57	57	5.36017795727e-08	0.0	4.6012	0.6014	ENSG00000157456.7
AC009065.4	57	57	7.66291317236e-11	0.0	4.7751	1.0057	ENSG00000279473.1
UBE2C	57	57	7.97382603874e-13	0.0	7.0422	0.8961	ENSG00000175063.16
NCAPH	57	57	9.95176539325e-09	0.0	5.407	0.5456	ENSG00000121152.9
TRIP13	57	57	8.01411810249e-10	0.0	4.1686	0.6161	ENSG00000071539.13
GSTM5	57	57	1.04340708346e-13	0.0	-6.6126	1.3929	ENSG00000134201.10
STIL	57	57	5.51778751633e-07	0.0002	3.2094	0.534	ENSG00000123473.15
HJURP	57	57	1.00441676513e-05	0.0001	5.729	0.5269	ENSG00000123485.11
PPM1K	57	57	1.74815632383e-08	0.0001	-3.1965	0.7398	ENSG00000163644.14
CCNE1	57	57	1.20133126939e-08	0.0	5.133	0.7933	ENSG00000105173.13
PTTG1	57	57	2.65455017627e-09	0.0	5.4505	0.8	ENSG00000164611.12
BIRC5	57	57	1.86371986273e-10	0.0	6.8596	0.7595	ENSG00000089685.14
CENPF	57	57	1.76618469721e-08	0.0	5.2054	0.6657	ENSG00000117724.12
CDC25C	57	57	6.43004224956e-07	0.0	6.5337	0.621	ENSG00000158402.18
GOLGA8N	57	57	1.26147265714e-11	0.0001	-3.5291	1.0281	ENSG00000232653.8
KIF20A	57	57	2.0780553741e-07	0.0001	6.4433	0.6996	ENSG00000112984.11
CDCA8	57	57	1.35794316577e-10	0.0	4.5619	0.6158	ENSG00000134690.10
SKA3	57	57	1.26379327699e-10	0.0	6.1826	0.6437	ENSG00000165480.15
DTL	57	57	1.5615964055e-07	0.0001	5.1542	0.6898	ENSG00000143476.17
CCNB1	57	57	1.01940819911e-13	0.0	4.5554	0.6321	ENSG00000134057.14
GTSE1	57	57	1.27091501197e-06	0.0001	4.7334	0.6851	ENSG00000075218.18
PLK1	57	57	5.67053860877e-10	0.0	3.7735	0.6603	ENSG00000166851.14
TOP2A	57	57	1.00123470184e-07	0.0	6.047	0.8911	ENSG00000131747.14
CBX7	57	57	1.2951436584e-20	0.0	-4.7318	0.8083	ENSG00000100307.12
LMOD1	57	57	3.31358598309e-21	0.0001	-6.8823	1.434	ENSG00000163431.12
KIF15	57	57	1.2607889844e-10	0.0	4.3749	0.6331	ENSG00000163808.16
ADCY4	57	57	2.02653480394e-13	0.0	-4.6624	0.8944	ENSG00000129467.13
CDC25A	57	57	3.30199864416e-10	0.0	4.5593	0.6168	ENSG00000164045.11
SGOL1	57	57	3.70897616531e-08	0.0	5.9607	0.5434	ENSG00000129810.14
BUB1B	57	57	2.50663586103e-06	0.0	5.3331	0.5228	ENSG00000156970.12
