	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
AGER	513	495	5.41353358278e-27	0.0826	-6.4695	2.3128	ENSG00000204305.13
SFTPC	513	490	9.69853785255e-42	0.0923	-7.0552	4.3165	ENSG00000168484.12
GPM6A	513	485	9.32260526273e-15	0.0827	-5.4068	2.0265	ENSG00000150625.16
STX11	513	484			-3.1065	1.0444	ENSG00000135604.9
CAV1	513	484	1.52224899555e-18	0.0808	-4.0381	1.3949	ENSG00000105974.11
CLDN18	513	481	7.41499463829e-33	0.1273	-6.3602	3.4094	ENSG00000066405.12
RS1	513	481			-4.9863	1.6447	ENSG00000102104.8
LGI3	513	479	7.08130629641e-24	0.1159	-6.401	2.6491	ENSG00000168481.8
CLIC5	513	477	5.1500690747e-19	0.0937	-4.4523	1.7764	ENSG00000112782.15
ITLN2	513	474			-6.3452	2.175	ENSG00000158764.6
FHL1	513	469	1.66972809143e-14	0.0997	-3.9236	1.3711	ENSG00000022267.16
EMP2	513	465	6.15641098356e-09	0.0671	-2.7633	0.9563	ENSG00000213853.9
CNTN6	513	463			-4.8498	2.0981	ENSG00000134115.12
RTKN2	513	461	6.03306796064e-08	0.1056	-4.2977	1.1887	ENSG00000182010.10
SH3GL3	513	461			-5.0758	1.7457	ENSG00000140600.16
SERTM1	513	458			-5.6616	1.8553	ENSG00000180440.3
SGCG	513	456			-4.1303	1.463	ENSG00000102683.7
WNT3A	513	455			-4.9472	1.8134	ENSG00000154342.5
TNNC1	513	451	2.04426034488e-10	0.0907	-3.9718	1.7441	ENSG00000114854.7
FABP4	513	448	9.9722087076e-09	0.1016	-5.1984	1.8953	ENSG00000170323.8
PTPRQ	513	446			-4.7705	1.7582	ENSG00000139304.12
CLEC3B	513	445	2.62664999172e-08	0.106	-4.0241	1.4792	ENSG00000163815.5
UPK3B	513	445	4.98731897857e-10	0.1119	-5.1615	2.0495	ENSG00000243566.6
SPOCK2	513	443	5.88335445165e-08	0.1021	-3.3992	1.1877	ENSG00000107742.12
NCKAP5	513	443	2.36469533276e-10	0.1336	-4.2672	1.6885	ENSG00000176771.15
SLC39A8	513	442	4.81605844952e-10	0.1115	-2.7456	1.0772	ENSG00000138821.12
AQP4	513	442	1.25513949695e-15	0.1319	-3.8529	2.9688	ENSG00000171885.13
MGAT3	513	442	6.59336562252e-11	0.1451	-3.8259	1.5164	ENSG00000128268.11
LIN7A	513	441			-3.1004	1.1957	ENSG00000111052.7
GYPE	513	441			-3.5481	1.3066	ENSG00000197465.13
C10orf67	513	441			-4.4433	1.5776	ENSG00000179133.11
ACADL	513	440			-3.9462	2.0889	ENSG00000115361.7
PECAM1	513	434	2.41328226818e-07	0.0862	-2.362	0.7803	ENSG00000261371.5
IHH	513	432			-4.0166	2.1822	ENSG00000163501.6
SCUBE1	513	431			-4.0534	1.5298	ENSG00000159307.18
JPH4	513	431			-2.8583	1.1696	ENSG00000092051.16
TCF21	513	430	4.56373364625e-09	0.1222	-3.6347	1.5835	ENSG00000118526.6
PYCR1	513	430			3.2927	0.9998	ENSG00000183010.16
CAT	513	429	2.07677965886e-08	0.121	-2.0203	0.7904	ENSG00000121691.4
SDPR	513	428	7.76273069653e-08	0.0845	-3.4912	1.391	ENSG00000168497.4
CD36	513	428	2.61211307507e-08	0.1475	-3.6256	1.4634	ENSG00000135218.17
MSTO1	513	428			1.4363	0.5896	ENSG00000125459.14
ODAM	513	427			-4.5292	1.8198	ENSG00000109205.16
ADAMTS8	513	426			-4.2609	1.9622	ENSG00000134917.9
GRIA1	513	425			-4.6624	2.1009	ENSG00000155511.17
ADH1B	513	424	2.79266939426e-11	0.1448	-4.1814	2.687	ENSG00000196616.12
ADRB2	513	423			-3.197	1.3955	ENSG00000169252.5
VEPH1	513	422	6.58987783021e-11	0.1442	-3.3313	1.8652	ENSG00000197415.11
PEBP4	513	422	2.08309465656e-12	0.1426	-4.1933	2.6914	ENSG00000134020.7
FIGF	513	421			-4.4762	2.1902	ENSG00000165197.4
PHACTR1	513	421	1.13776546589e-10	0.1384	-2.692	1.1736	ENSG00000112137.16
