query	_id	_score	entrezgene	name	summary	symbol
AOC1	26	94.71092	26	amine oxidase, copper containing 1	This gene encodes a metal-binding membrane glycoprotein that oxidatively deaminates putrescine, histamine, and related compounds. The encoded protein is inhibited by amiloride, a diuretic that acts by closing epithelial sodium ion channels. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene.	AOC1
COL11A1	1301	92.42383	1301	collagen type XI alpha 1 chain	This gene encodes one of the two alpha chains of type XI collagen, a minor fibrillar collagen. Type XI collagen is a heterotrimer but the third alpha chain is a post-translationally modified alpha 1 type II chain. Mutations in this gene are associated with type II Stickler syndrome and with Marshall syndrome. A single-nucleotide polymorphism in this gene is also associated with susceptibility to lumbar disc herniation. Multiple transcript variants have been identified for this gene.	COL11A1
SUMO1	7341	94.68412	7341	small ubiquitin-like modifier 1	This gene encodes a protein that is a member of the SUMO (small ubiquitin-like modifier) protein family. It functions in a manner similar to ubiquitin in that it is bound to target proteins as part of a post-translational modification system. However, unlike ubiquitin which targets proteins for degradation, this protein is involved in a variety of cellular processes, such as nuclear transport, transcriptional regulation, apoptosis, and protein stability. It is not active until the last four amino acids of the carboxy-terminus have been cleaved off. Several pseudogenes have been reported for this gene. Alternate transcriptional splice variants encoding different isoforms have been characterized.	SUMO1
KLK10	5655	100.7749	5655	kallikrein related peptidase 10	Kallikreins are a subgroup of serine proteases having diverse physiological functions. Growing evidence suggests that many kallikreins are implicated in carcinogenesis and some have potential as novel cancer and other disease biomarkers. This gene is one of the fifteen kallikrein subfamily members located in a cluster on chromosome 19. Its encoded protein is secreted and may play a role in suppression of tumorigenesis in breast and prostate cancers. Alternate splicing of this gene results in multiple transcript variants encoding the same protein.	KLK10
NQO1	1728	99.02807	1728	NAD(P)H quinone dehydrogenase 1	This gene is a member of the NAD(P)H dehydrogenase (quinone) family and encodes a cytoplasmic 2-electron reductase. This FAD-binding protein forms homodimers and reduces quinones to hydroquinones. This protein's enzymatic activity prevents the one electron reduction of quinones that results in the production of radical species. Mutations in this gene have been associated with tardive dyskinesia (TD), an increased risk of hematotoxicity after exposure to benzene, and susceptibility to various forms of cancer. Altered expression of this protein has been seen in many tumors and is also associated with Alzheimer's disease (AD). Alternate transcriptional splice variants, encoding different isoforms, have been characterized.	NQO1
S100A16	140576	98.30689	140576	S100 calcium binding protein A16		S100A16
OCIAD2	132299	94.70852	132299	OCIA domain containing 2		OCIAD2
DNTTIP1	116092	94.68735	116092	deoxynucleotidyltransferase terminal interacting protein 1	DNTTIP1 binds DNA and enhances the activity of terminal deoxynucleotidyltransferase (TDT, or DNTT; MIM 187410), a DNA polymerase that catalyzes the polymerization of DNA in the absence of a DNA template (Yamashita et al., 2001 [PubMed 11473582]).	DNTTIP1
SEMA7A	8482	95.16322	8482	semaphorin 7A (John Milton Hagen blood group)	This gene encodes a member of the semaphorin family of proteins. The encoded preproprotein is proteolytically processed to generate the mature glycosylphosphatidylinositol (GPI)-anchored membrane glycoprotein. The encoded protein is found on activated lymphocytes and erythrocytes and may be involved in immunomodulatory and neuronal processes. The encoded protein carries the John Milton Hagen (JMH) blood group antigens. Mutations in this gene may be associated with reduced bone mineral density (BMD). Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed.	SEMA7A
VOPP1	81552	93.092	81552	vesicular, overexpressed in cancer, prosurvival protein 1		VOPP1
CDH3	1001	98.64994	1001	cadherin 3	This gene encodes a classical cadherin of the cadherin superfamily. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the mature glycoprotein. This calcium-dependent cell-cell adhesion protein is comprised of five extracellular cadherin repeats, a transmembrane region and a highly conserved cytoplasmic tail. This gene is located in a gene cluster in a region on the long arm of chromosome 16 that is involved in loss of heterozygosity events in breast and prostate cancer. In addition, aberrant expression of this protein is observed in cervical adenocarcinomas. Mutations in this gene are associated with hypotrichosis with juvenile macular dystrophy and ectodermal dysplasia, ectrodactyly, and macular dystrophy syndrome (EEMS).	CDH3
TRIM29	23650	95.164536	23650	tripartite motif containing 29	The protein encoded by this gene belongs to the TRIM protein family. It has multiple zinc finger motifs and a leucine zipper motif. It has been proposed to form homo- or heterodimers which are involved in nucleic acid binding. Thus, it may act as a transcriptional regulatory factor involved in carcinogenesis and/or differentiation. It may also function in the suppression of radiosensitivity since it is associated with ataxia telangiectasia phenotype.	TRIM29
CEACAM6	4680	111.521095	4680	carcinoembryonic antigen related cell adhesion molecule 6	This gene encodes a protein that belongs to the carcinoembryonic antigen (CEA) family whose members are glycosyl phosphatidyl inositol (GPI) anchored cell surface glycoproteins. Members of this family play a role in cell adhesion and are widely used as tumor markers in serum immunoassay determinations of carcinoma. This gene affects the sensitivity of tumor cells to adenovirus infection. The protein encoded by this gene acts as a receptor for adherent-invasive E. coli adhesion to the surface of ileal epithelial cells in patients with Crohn's disease. This gene is clustered with genes and pseudogenes of the cell adhesion molecules subgroup of the CEA family on chromosome 19.	CEACAM6
POSTN	10631	93.48468	10631	periostin	This gene encodes a secreted extracellular matrix protein that functions in tissue development and regeneration, including wound healing, and ventricular remodeling following myocardial infarction. The encoded protein binds to integrins to support adhesion and migration of epithelial cells. This protein plays a role in cancer stem cell maintenance and metastasis. Mice lacking this gene exhibit cardiac valve disease, and skeletal and dental defects. Alternative splicing results in multiple transcript variants encoding different isoforms.	POSTN
CTSZ	1522	93.65248	1522	cathepsin Z	The protein encoded by this gene is a lysosomal cysteine proteinase and member of the peptidase C1 family. It exhibits both carboxy-monopeptidase and carboxy-dipeptidase activities. The encoded protein has also been known as cathepsin X and cathepsin P. This gene is expressed ubiquitously in cancer cell lines and primary tumors and, like other members of this family, may be involved in tumorigenesis.	CTSZ
TSPAN1	10103	94.469025	10103	tetraspanin 1	The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility.	TSPAN1
SERPINB5	5268	94.050766	5268	serpin family B member 5		SERPINB5
PTTG1IP	754	97.31859	754	pituitary tumor-transforming 1 interacting protein	This gene encodes a single-pass type I integral membrane protein, which binds to pituitary tumor-transforming 1 protein (PTTG1), and facilitates translocation of PTTG1 into the nucleus. Coexpression of this protein and PTTG1 induces transcriptional activation of basic fibroblast growth factor. Alternatively spliced transcript variants have been found for this gene.	PTTG1IP
SLC2A1	6513	101.25698	6513	solute carrier family 2 member 1	This gene encodes a major glucose transporter in the mammalian blood-brain barrier. The encoded protein is found primarily in the cell membrane and on the cell surface, where it can also function as a receptor for human T-cell leukemia virus (HTLV) I and II. Mutations in this gene have been found in a family with paroxysmal exertion-induced dyskinesia.	SLC2A1
ACSL5	51703	94.46579	51703	acyl-CoA synthetase long-chain family member 5	The protein encoded by this gene is an isozyme of the long-chain fatty-acid-coenzyme A ligase family. Although differing in substrate specificity, subcellular localization, and tissue distribution, all isozymes of this family convert free long-chain fatty acids into fatty acyl-CoA esters, and thereby play a key role in lipid biosynthesis and fatty acid degradation. This isozyme is highly expressed in uterus and spleen, and in trace amounts in normal brain, but has markedly increased levels in malignant gliomas. This gene functions in mediating fatty acid-induced glioma cell growth. Three transcript variants encoding two different isoforms have been found for this gene.	ACSL5
SFN	2810	100.75373	2810	stratifin		SFN
TNS4	84951	96.720375	84951	tensin 4		TNS4
ASPHD2	57168	91.76641	57168	aspartate beta-hydroxylase domain containing 2		ASPHD2
CAPZB	832	91.78952	832	capping actin protein of muscle Z-line beta subunit	This gene encodes the beta subunit of the barbed-end actin binding protein, which belongs to the F-actin capping protein family. The capping protein is a heterodimeric actin capping protein that blocks actin filament assembly and disassembly at the fast growing (barbed) filament ends and functions in regulating actin filament dynamics as well as in stabilizing actin filament lengths in muscle and nonmuscle cells. A pseudogene of this gene is located on the long arm of chromosome 2. Multiple alternatively spliced transcript variants encoding different isoforms have been found.	CAPZB
VDR	7421	93.29422	7421	vitamin D (1,25- dihydroxyvitamin D3) receptor	This gene encodes the nuclear hormone receptor for vitamin D3. This receptor also functions as a receptor for the secondary bile acid lithocholic acid. The receptor belongs to the family of trans-acting transcriptional regulatory factors and shows sequence similarity to the steroid and thyroid hormone receptors. Downstream targets of this nuclear hormone receptor are principally involved in mineral metabolism though the receptor regulates a variety of other metabolic pathways, such as those involved in the immune response and cancer. Mutations in this gene are associated with type II vitamin D-resistant rickets. A single nucleotide polymorphism in the initiation codon results in an alternate translation start site three codons downstream. Alternative splicing results in multiple transcript variants encoding different proteins.	VDR
MMP11	4320	97.014626	4320	matrix metallopeptidase 11	Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. Most MMP's are secreted as inactive proproteins which are activated when cleaved by extracellular proteinases. However, the enzyme encoded by this gene is activated intracellularly by furin within the constitutive secretory pathway. Also in contrast to other MMP's, this enzyme cleaves alpha 1-proteinase inhibitor but weakly degrades structural proteins of the extracellular matrix.	MMP11
