query	_id	_score	entrezgene	name	summary	symbol
RPN2	6185	93.29617	6185	ribophorin II	This gene encodes a type I integral membrane protein found only in the rough endoplasmic reticulum. The encoded protein is part of an N-oligosaccharyl transferase complex that links high mannose oligosaccharides to asparagine residues found in the Asn-X-Ser/Thr consensus motif of nascent polypeptide chains. This protein is similar in sequence to the yeast oligosaccharyl transferase subunit SWP1. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.	RPN2
UBAC2	337867	93.67365	337867	UBA domain containing 2		UBAC2
CAPRIN1	4076	93.11186	4076	cell cycle associated protein 1		CAPRIN1
ACP1	52	91.62285	52	acid phosphatase 1, soluble	The product of this gene belongs to the phosphotyrosine protein phosphatase family of proteins. It functions as an acid phosphatase and a protein tyrosine phosphatase by hydrolyzing protein tyrosine phosphate to protein tyrosine and orthophosphate. This enzyme also hydrolyzes orthophosphoric monoesters to alcohol and orthophosphate. This gene is genetically polymorphic, and three common alleles segregating at the corresponding locus give rise to six phenotypes. Each allele appears to encode at least two electrophoretically different isozymes, Bf and Bs, which are produced in allele-specific ratios. Multiple alternatively spliced transcript variants encoding distinct isoforms have been identified for this gene.	ACP1
NFE2L3	9603	91.76965	9603	nuclear factor, erythroid 2 like 3	This gene encodes a member of the cap 'n' collar basic-region leucine zipper family of transcription factors. The encoded protein heterodimerizes with small musculoaponeurotic fibrosarcoma factors to bind antioxidant response elements in target genes. This protein is a membrane bound glycoprotein that is targeted to the endoplasmic reticulum and the nuclear envelope. Pseudogenes of this gene are found on chromosomes 16, 17, and 18.	NFE2L3
NDC1	55706	94.93382	55706	NDC1 transmembrane nucleoporin		NDC1
CNPY2	10330	91.61593	10330	canopy FGF signaling regulator 2		CNPY2
SLC12A2	6558	96.14552	6558	solute carrier family 12 member 2	The protein encoded by this gene mediates sodium and chloride transport and reabsorption. The encoded protein is a membrane protein and is important in maintaining proper ionic balance and cell volume. This protein is phosphorylated in response to DNA damage. Three transcript variants encoding two different isoforms have been found for this gene.	SLC12A2
CDH1	999	96.16463	999	cadherin 1	This gene encodes a classical cadherin of the cadherin superfamily. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the mature glycoprotein. This calcium-dependent cell-cell adhesion protein is comprised of five extracellular cadherin repeats, a transmembrane region and a highly conserved cytoplasmic tail. Mutations in this gene are correlated with gastric, breast, colorectal, thyroid and ovarian cancer. Loss of function of this gene is thought to contribute to cancer progression by increasing proliferation, invasion, and/or metastasis. The ectodomain of this protein mediates bacterial adhesion to mammalian cells and the cytoplasmic domain is required for internalization. This gene is present in a gene cluster with other members of the cadherin family on chromosome 16.	CDH1
CDH3	1001	98.64994	1001	cadherin 3	This gene encodes a classical cadherin of the cadherin superfamily. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the mature glycoprotein. This calcium-dependent cell-cell adhesion protein is comprised of five extracellular cadherin repeats, a transmembrane region and a highly conserved cytoplasmic tail. This gene is located in a gene cluster in a region on the long arm of chromosome 16 that is involved in loss of heterozygosity events in breast and prostate cancer. In addition, aberrant expression of this protein is observed in cervical adenocarcinomas. Mutations in this gene are associated with hypotrichosis with juvenile macular dystrophy and ectodermal dysplasia, ectrodactyly, and macular dystrophy syndrome (EEMS).	CDH3
CENPH	64946	93.86855	64946	centromere protein H	Centromere and kinetochore proteins play a critical role in centromere structure, kinetochore formation, and sister chromatid separation. The protein encoded by this gene colocalizes with inner kinetochore plate proteins CENP-A and CENP-C in both interphase and metaphase. It localizes outside of centromeric heterochromatin, where CENP-B is localized, and inside the kinetochore corona, where CENP-E is localized during prometaphase. It is thought that this protein can bind to itself, as well as to CENP-A, CENP-B or CENP-C. Multimers of the protein localize constitutively to the inner kinetochore plate and play an important role in the organization and function of the active centromere-kinetochore complex.	CENPH
