query	_id	_score	entrezgene	name	notfound	summary	symbol
ESPN	83715	96.69856	83715.0	espin		This gene encodes a multifunctional actin-bundling protein. It plays a major role in regulating the organization, dimensions, dynamics, and signaling capacities of the actin filament-rich, microvillus-type specializations that mediate sensory transduction in various mechanosensory and chemosensory cells. Mutations in this gene are associated with autosomal recessive neurosensory deafness, and autosomal dominant sensorineural deafness without vestibular involvement.	ESPN
AP1M2	10053	102.3597	10053.0	adaptor related protein complex 1 mu 2 subunit		This gene encodes a subunit of the heterotetrameric adaptor-related protein comlex 1 (AP-1), which belongs to the adaptor complexes medium subunits family. This protein is capable of interacting with tyrosine-based sorting signals. Alternative splicing results in multiple transcript variants.	AP1M2
PKP3	11187	97.01221	11187.0	plakophilin 3		This gene encodes a member of the arm-repeat (armadillo) and plakophilin gene families. Plakophilin proteins contain numerous armadillo repeats, localize to cell desmosomes and nuclei, and participate in linking cadherins to intermediate filaments in the cytoskeleton. This protein may act in cellular desmosome-dependent adhesion and signaling pathways. Two transcript variants encoding different isoforms have been found for this gene.	PKP3
SLC25A10	1468	94.257454	1468.0	solute carrier family 25 member 10		This gene encodes a member of a family of proteins that translocate small metabolites across the mitochondrial membrane. The encoded protein exchanges dicarboxylates, such as malate and succinate, for phosphate, sulfate, and other small molecules, thereby providing substrates for metabolic processes including the Krebs cycle and fatty acid synthesis. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene.	SLC25A10
SKA1	220134	92.23625	220134.0	spindle and kinetochore associated complex subunit 1			SKA1
TPX2	22974	92.91415	22974.0	TPX2, microtubule nucleation factor			TPX2
SPINT1	6692	94.69105	6692.0	serine peptidase inhibitor, Kunitz type 1		The protein encoded by this gene is a member of the Kunitz family of serine protease inhibitors. The protein is a potent inhibitor specific for HGF activator and is thought to be involved in the regulation of the proteolytic activation of HGF in injured tissues. Alternative splicing results in multiple variants encoding different isoforms.	SPINT1
POC1A	25886	94.68811	25886.0	POC1 centriolar protein A		POC1 proteins contain an N-terminal WD40 domain and a C-terminal coiled coil domain and are part of centrosomes. They play an important role in basal body and cilia formation. This gene encodes one of the two POC1 proteins found in humans. Mutations in this gene result in short stature, onychodysplasia, facial dysmorphism, and hypotrichosis (SOFT) syndrome.	POC1A
WWC1	23286	94.07118	23286.0	WW and C2 domain containing 1		The protein encoded by this gene is a cytoplasmic phosphoprotein that interacts with PRKC-zeta and dynein light chain-1. Alleles of this gene have been found that enhance memory in some individuals. Three transcript variants encoding different isoforms have been found for this gene.	WWC1
ESRP2	80004	94.277855	80004.0	epithelial splicing regulatory protein 2		ESPR2 is an epithelial cell-type-specific splicing regulator (Warzecha et al., 2009 [PubMed 19285943]).	ESRP2
ESRP1	54845	95.901886	54845.0	epithelial splicing regulatory protein 1		ESPR1 is an epithelial cell-type-specific splicing regulator (Warzecha et al., 2009 [PubMed 19285943]).	ESRP1
LAD1	3898	93.655556	3898.0	ladinin 1		The protein encoded by this gene may be an anchoring filament that is a component of basement membranes. It may contribute to the stability of the association of the epithelial layers with the underlying mesenchyme.	LAD1
CNPY2	10330	91.61593	10330.0	canopy FGF signaling regulator 2			CNPY2
SUMO1	7341	94.68412	7341.0	small ubiquitin-like modifier 1		This gene encodes a protein that is a member of the SUMO (small ubiquitin-like modifier) protein family. It functions in a manner similar to ubiquitin in that it is bound to target proteins as part of a post-translational modification system. However, unlike ubiquitin which targets proteins for degradation, this protein is involved in a variety of cellular processes, such as nuclear transport, transcriptional regulation, apoptosis, and protein stability. It is not active until the last four amino acids of the carboxy-terminus have been cleaved off. Several pseudogenes have been reported for this gene. Alternate transcriptional splice variants encoding different isoforms have been characterized.	SUMO1
MARVELD2	153562	94.469795	153562.0	MARVEL domain containing 2		The protein encoded by this gene is a membrane protein found at the tight junctions between epithelial cells. The encoded protein helps establish epithelial barriers such as those in the organ of Corti, where these barriers are required for normal hearing. Defects in this gene are a cause of deafness autosomal recessive type 49 (DFNB49). Two transcript variants encoding different isoforms have been found for this gene.	MARVELD2
