query	_id	_score	entrezgene	name	summary	symbol
IFFO1	25900	95.647766	25900.0	intermediate filament family orphan 1	This gene is a member of the intermediate filament family. Intermediate filaments are proteins which are primordial components of the cytoskeleton and nuclear envelope. The proteins encoded by the members of this gene family are evolutionarily and structurally related but have limited sequence homology, with the exception of the central rod domain. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene.	IFFO1
SYTL4	94121	96.69533	94121.0	synaptotagmin like 4	This gene encodes a member of the synaptotagmin like protein family. Members of this family are characterized by an N-terminal Rab27 binding domain and C-terminal tandem C2 domains. The encoded protein binds specific small Rab GTPases and is involved in intracellular membrane trafficking. This protein binds Rab27 and may be involved in inhibiting dense core vesicle exocytosis. Alternate splicing results in multiple transcript variants that encode the same protein.	SYTL4
ZDHHC17	23390	94.06987	23390.0	zinc finger DHHC-type containing 17		ZDHHC17
ZNF540	163255	106.128685	163255.0	zinc finger protein 540		ZNF540
PLIN5	440503	99.027435	440503.0	perilipin 5	Members of the perilipin family, such as PLIN5, coat intracellular lipid storage droplets and protect them from lipolytic degradation (Dalen et al., 2007 [PubMed 17234449]).	PLIN5
CACNA1H	8912	95.40171	8912.0	calcium voltage-gated channel subunit alpha1 H	This gene encodes a T-type member of the alpha-1 subunit family, a protein in the voltage-dependent calcium channel complex. Calcium channels mediate the influx of calcium ions into the cell upon membrane polarization and consist of a complex of alpha-1, alpha-2/delta, beta, and gamma subunits in a 1:1:1:1 ratio. The alpha-1 subunit has 24 transmembrane segments and forms the pore through which ions pass into the cell. There are multiple isoforms of each of the proteins in the complex, either encoded by different genes or the result of alternative splicing of transcripts. Alternate transcriptional splice variants, encoding different isoforms, have been characterized for the gene described here. Studies suggest certain mutations in this gene lead to childhood absence epilepsy (CAE).	CACNA1H
MAP3K5	4217	94.93382	4217.0	mitogen-activated protein kinase kinase kinase 5	Mitogen-activated protein kinase (MAPK) signaling cascades include MAPK or extracellular signal-regulated kinase (ERK), MAPK kinase (MKK or MEK), and MAPK kinase kinase (MAPKKK or MEKK). MAPKK kinase/MEKK phosphorylates and activates its downstream protein kinase, MAPK kinase/MEK, which in turn activates MAPK. The kinases of these signaling cascades are highly conserved, and homologs exist in yeast, Drosophila, and mammalian cells. MAPKKK5 contains 1,374 amino acids with all 11 kinase subdomains. Northern blot analysis shows that MAPKKK5 transcript is abundantly expressed in human heart and pancreas. The MAPKKK5 protein phosphorylates and activates MKK4 (aliases SERK1, MAPKK4) in vitro, and activates c-Jun N-terminal kinase (JNK)/stress-activated protein kinase (SAPK) during transient expression in COS and 293 cells; MAPKKK5 does not activate MAPK/ERK.	MAP3K5
POU6F1	5463	94.933174	5463.0	POU class 6 homeobox 1		POU6F1
JAKMIP3	282973	94.25669	282973.0	Janus kinase and microtubule interacting protein 3		JAKMIP3
RNASE4	6038	105.2165	6038.0	ribonuclease A family member 4	The protein encoded by this gene belongs to the pancreatic ribonuclease family. It plays an important role in mRNA cleavage and has marked specificity towards the 3' side of uridine nucleotides. Alternative splicing results in four transcript variants encoding the same protein. This gene and the gene that encodes angiogenin share promoters and 5' exons. Each gene splices to a unique downstream exon that contains its complete coding region.	RNASE4
SPAG9	9043	96.43658	9043.0	sperm associated antigen 9	This gene encodes a member of the cancer testis antigen gene family. The encoded protein functions as a scaffold protein that structurally organizes mitogen-activated protein kinases and mediates c-Jun-terminal kinase signaling. This protein also binds to kinesin-1 and may be involved in microtubule-based membrane transport. This protein may play a role in tumor growth and development. Alternate splicing results in multiple transcript variants.	SPAG9
MON2	23041	94.05	23041.0	MON2 homolog, regulator of endosome-to-Golgi trafficking		MON2
GOLGA8S	ENSG00000261739	116.89057		golgin A8 family member S		GOLGA8S
GOLGA8R	101059918	116.86941	101059918.0	golgin A8 family member R		GOLGA8R
GOLGA8M	653720	116.889275	653720.0	golgin A8 family member M		GOLGA8M
ANGPTL5	253935	95.88572	253935.0	angiopoietin like 5		ANGPTL5
GOLGA8N	643699	116.87248	643699.0	golgin A8 family member N		GOLGA8N
ARHGAP10	79658	96.16833	79658.0	Rho GTPase activating protein 10		ARHGAP10
PID1	55022	92.73966	55022.0	phosphotyrosine interaction domain containing 1		PID1
MYO15B	ENSG00000266714	102.98403		myosin XVB		MYO15B
ASIP	434	96.698875	434.0	agouti signaling protein	In mice, the agouti gene encodes a paracrine signaling molecule that causes hair follicle melanocytes to synthesize pheomelanin, a yellow pigment, instead of the black or brown pigment, eumelanin. Pleiotropic effects of constitutive expression of the mouse gene include adult-onset obesity, increased tumor susceptibility, and premature infertility. This gene is highly similar to the mouse gene and encodes a secreted protein that may (1) affect the quality of hair pigmentation, (2) act as a pharmacological antagonist of alpha-melanocyte-stimulating hormone, (3) play a role in neuroendocrine aspects of melanocortin action, and (4) have a functional role in regulating lipid metabolism in adipocytes.	ASIP
GOLGA8A	23015	116.8731	23015.0	golgin A8 family member A	The Golgi apparatus, which participates in glycosylation and transport of proteins and lipids in the secretory pathway, consists of a series of stacked, flattened membrane sacs referred to as cisternae. Interactions between the Golgi and microtubules are thought to be important for the reorganization of the Golgi after it fragments during mitosis. The golgins constitute a family of proteins which are localized to the Golgi. This gene encodes a golgin which structurally resembles its family member GOLGA2, suggesting that they may share a similar function. There are many similar copies of this gene on chromosome 15. Alternative splicing results in multiple transcript variants.	GOLGA8A
GOLGA8B	440270	113.74692	440270.0	golgin A8 family member B		GOLGA8B
STAR	6770	92.076454	6770.0	steroidogenic acute regulatory protein	The protein encoded by this gene plays a key role in the acute regulation of steroid hormone synthesis by enhancing the conversion of cholesterol into pregnenolone. This protein permits the cleavage of cholesterol into pregnenolone by mediating the transport of cholesterol from the outer mitochondrial membrane to the inner mitochondrial membrane. Mutations in this gene are a cause of congenital lipoid adrenal hyperplasia (CLAH), also called lipoid CAH. A pseudogene of this gene is located on chromosome 13.	STAR
LRRN4CL	221091	100.28421	221091.0	LRRN4 C-terminal like		LRRN4CL
ABCA8	10351	105.23398	10351.0	ATP binding cassette subfamily A member 8	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. The encoded protein may regulate lipid metabolism and be involved in the formation and maintenance of myelin. Alternative splicing results in multiple transcript variants.	ABCA8
GABBR1	2550	95.3786	2550.0	gamma-aminobutyric acid type B receptor subunit 1	This gene encodes a receptor for gamma-aminobutyric acid (GABA), which is the main inhibitory neurotransmitter in the mammalian central nervous system. This receptor functions as a heterodimer with GABA(B) receptor 2. Defects in this gene may underlie brain disorders such as schizophrenia and epilepsy. Alternative splicing generates multiple transcript variants, but the full-length nature of some of these variants has not been determined.	GABBR1
TDRD10	126668	99.04424	126668.0	tudor domain containing 10		TDRD10
